indicator,market,lag_days,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,granger_p,mutual_info,regime,computed_at,min_p,category,is_significant,unexpected,abs_pearson
DXY,ret_NIFTY50,0,-0.12829122121438485,1.056142420277018e-06,-0.14294981329433643,5.2078855679061115e-08,-0.09786915471533393,2.7006979577749485e-08,,0.007769651153692436,all,1773591017.83056,2.7006979577749485e-08,other,True,False,0.12829122121438485
DXY,ret_BANKNIFTY,0,-0.12539985209637566,1.8423612873961224e-06,-0.1269282534257163,1.3749742792602457e-06,-0.08676508256866182,8.265054903148287e-07,,0.02616157637490968,all,1773591017.83056,8.265054903148287e-07,other,True,False,0.12539985209637566
INDIAVIX,ret_NIFTYIT,8,-0.12528866550291864,2.656296009124199e-05,0.02110320677072038,0.4808683102504055,0.015529548604401177,0.43694146384302923,0.02029957623578063,0.03217097057004725,all,1773591017.83056,2.656296009124199e-05,other,True,False,0.12528866550291864
US10Y,ret_NIFTYIT,1,-0.11907790411482505,4.576339211381022e-05,0.00798929786901518,0.7852220329361485,0.005262642553604429,0.7878354522372868,0.04967531714896141,0.026660571063655603,all,1773591017.83056,4.576339211381022e-05,other,True,False,0.11907790411482505
GOLD,ret_NIFTYIT,5,-0.11800103628868056,0.0005578004309676252,-0.04749839237385785,0.1659977905598318,-0.03160881096643105,0.1672460245998395,0.0005862768746770466,0.07214610748157613,all,1773591017.83056,0.0005578004309676252,other,True,False,0.11800103628868056
DII_net,ret_NIFTYFMCG,5,-0.10297255966933672,0.0022378203618437327,-0.0678927158655365,0.04418445492888024,-0.04556586097786623,0.04313777527263708,0.6794916116791093,0.028137956889216387,all,1773591017.83056,0.0022378203618437327,other,True,False,0.10297255966933672
GOLD,ret_NIFTYFMCG,5,-0.10221497509804986,0.0029330273951963747,0.0052686111553736795,0.8784558475131954,0.0037213658843047942,0.8713623187571043,0.04688656340998405,0.019249271324290884,all,1773591017.83056,0.0029330273951963747,other,True,False,0.10221497509804986
DII_net,ret_NIFTYIT,5,-0.09142485891534163,0.006465431902245914,-0.06877162177148344,0.040700072751712994,-0.045404343778296406,0.04304791024189651,0.1411191136987562,0.0,all,1773591017.83056,0.006465431902245914,other,True,False,0.09142485891534163
wiki_Recession,ret_NIFTYIT,18,-0.0807720015524887,0.0019261632193409949,-0.06032789341750011,0.020628179976022246,-0.04091550993184336,0.018713948539606222,0.7926981850508719,0.030155482341052586,all,1773591017.83056,0.0019261632193409949,digital,True,False,0.0807720015524887
DXY,ret_NIFTYIT,0,-0.07783057226318396,0.0031437084368709147,-0.08825107822101655,0.0008075479945176085,-0.06011221204645441,0.000638077039563194,,0.007638760543551726,all,1773591017.83056,0.000638077039563194,other,True,False,0.07783057226318396
DII_net,ret_NIFTY50,5,-0.07666236007288715,0.022410261338145828,-0.07087106880841816,0.034824047209916574,-0.04776544061322184,0.03319950398462176,0.5615178066025225,0.004816898455921592,all,1773591017.83056,0.022410261338145828,other,True,False,0.07666236007288715
DXY,ret_NIFTYFMCG,15,0.07555871021541269,0.010505607495893758,0.04584626648185199,0.12086855834569438,0.030405853562634835,0.1231991126495943,0.10577654769695129,0.008744717116107914,all,1773591017.83056,0.010505607495893758,other,True,False,0.07555871021541269
wiki_Recession,ret_NIFTYFMCG,27,0.07536160746143286,0.00407515134298357,0.03901022429016831,0.1374744505657917,0.02639194650000417,0.13213091224982357,0.9745321893440144,0.0,all,1773591017.83056,0.00407515134298357,digital,True,False,0.07536160746143286
wiki_NIFTY_50,ret_NIFTYFMCG,10,-0.06969156136676319,0.007682903402682922,-0.04351512751982453,0.09626963956847316,-0.028798510822341857,0.09912252965075487,0.16958383168951094,0.0,all,1773591017.83056,0.007682903402682922,digital,True,False,0.06969156136676319
cement_dispatches,ret_NIFTYIT,24,-0.06646018652920758,0.011447917047607352,-0.08867299385213023,0.0007333148756436525,-0.05986249033389059,0.0006458795242400851,0.7385186714970831,0.017538220316691167,all,1773591017.83056,0.0006458795242400851,other,True,False,0.06646018652920758
gtrends_Nifty,ret_NIFTYIT,7,-0.06632742647002,0.011301075472398319,-0.08342421702799212,0.0014312305432974141,-0.0567129695067938,0.0011772642991166166,0.10954387691614814,0.019577803156105134,all,1773591017.83056,0.0011772642991166166,digital,True,False,0.06632742647002
FII_net,ret_NIFTYFMCG,6,-0.06570161693114022,0.024311238655235802,-0.06456446335828907,0.026889919688964568,-0.04233716336220957,0.029732963676241893,0.3939955269248273,0.04954299935482087,all,1773591017.83056,0.024311238655235802,other,True,False,0.06570161693114022
auto_sales,ret_NIFTYIT,14,-0.06252880552438947,0.017136337691520773,-0.08883178138557886,0.0006991810878675612,-0.05990455768344776,0.0006237676642081749,0.7580952312557336,0.0029088615331689383,all,1773591017.83056,0.0006237676642081749,other,True,False,0.06252880552438947
daylight_hours_mumbai,ret_NIFTYFMCG,0,0.061837779103491405,0.017810589596817097,0.04838506051031974,0.06383146552623432,0.031781852898183284,0.06809417386746823,,0.030018608763455745,all,1773591017.83056,0.017810589596817097,other,True,False,0.061837779103491405
FII_net,ret_NIFTYIT,8,0.06173456948943762,0.03336875014522833,0.0675122413849286,0.019955916660581163,0.04556658979573891,0.01865392816375838,0.23287330662187322,0.006184953478521216,all,1773591017.83056,0.01865392816375838,other,True,False,0.06173456948943762
FII_net,ret_BANKNIFTY,0,-0.061279893065624806,0.01826995775456495,-0.058906289129855655,0.02329734613450132,-0.03907260240439784,0.024173961418140436,,0.02161079067967009,all,1773591017.83056,0.01826995775456495,other,True,False,0.061279893065624806
wiki_NIFTY_50,ret_NIFTYIT,8,-0.06093803879744521,0.01909158285802364,0.018642191966151207,0.47374859325999735,0.014283041274188647,0.4106788400056487,0.7050547968154561,0.0,all,1773591017.83056,0.01909158285802364,digital,True,False,0.06093803879744521
