,RSI2_MeanRev,RSI2_BankNifty,Pairs_nifty50_vs_banknifty,DualMom_nifty50_vs_gold,FundManager,Nifty50_BuyHold
2015-12-31,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47325.336419082094
2016-01-01,,50000.0,,,,
2016-01-04,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46401.91784496369
2016-01-05,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46362.31364156157
2016-01-06,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46102.351987759364
2016-01-07,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,45073.81753579558
2016-01-08,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,45270.65208427044
2016-01-11,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,45047.31683048657
2016-01-12,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,44728.39234327652
2016-01-13,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,45038.680037469145
2016-01-14,50000.0,50000.0,52560.54579909526,50000.0,51405.35632932206,44886.21592261713
2016-01-15,50000.0,50000.0,51201.90118884649,50000.0,50962.428341843195,44296.610852627695
2016-01-18,50000.0,50000.0,50577.29407251977,,50755.19973855232,43779.66534840706
2016-01-19,50000.0,50000.0,50577.29407251977,50000.0,50755.19973855232,44280.53245916193
2016-01-20,50000.0,50000.0,49470.49586252294,50000.0,50384.96928073651,43531.31538299495
2016-01-21,50000.0,50000.0,50019.3405352292,50000.0,50571.299344693885,43337.75816304893
2016-01-22,50000.0,50000.0,51332.16211280527,50000.0,51013.735492227745,44205.19461515439
2016-01-25,50000.0,50000.0,51542.824014409336,50000.0,51083.520529420755,44286.78468306343
2016-01-27,50000.0,50000.0,51454.87947949531,50000.0,51054.466912092925,44296.314235493766
2016-01-28,50000.0,50000.0,50947.606940182995,50000.0,50886.69190004537,44218.295205236376
2016-01-29,50000.0,50000.0,51414.47183163058,50000.0,51042.12746294913,45045.52840364962
2016-02-01,50000.0,50000.0,50725.68511044757,50000.0,50814.19462377666,45000.26811862498
2016-02-02,50000.0,50000.0,49909.37428508439,50000.0,50541.61623104075,44402.32287275206
2016-02-03,50000.0,50000.0,49134.464154967805,50000.0,50280.04071895235,43843.984738292376
2016-02-04,50000.0,50000.0,49250.72833101661,50000.0,50319.69901587574,44095.312507088274
2016-02-05,50000.0,50000.0,50220.89357224896,50000.0,50650.10646762864,44602.135224610705
2016-02-08,50000.0,50000.0,49839.15257298903,50000.0,50521.77195131981,43995.55609373148
2016-02-09,50000.0,50000.0,49270.43401391702,50000.0,50329.602623508435,43465.21047428381
2016-02-10,50000.0,50000.0,48320.97073764898,50000.0,50006.31131397997,42973.87291595929
2016-02-11,50000.0,50000.0,46466.427257187184,50000.0,49366.56920881963,41548.39785453919
2016-02-12,50000.0,50000.0,46277.46360261135,50000.0,49299.65001660416,41575.794227272236
2016-02-15,50000.0,50000.0,47845.82506021568,,49856.57819820154,42659.71465896998
2016-02-16,50000.0,50000.0,46923.19023666859,50000.0,49536.10847299098,41976.60539952525
2016-02-17,50000.0,50000.0,46768.837679767465,50000.0,49481.79257955483,42335.13409013741
2016-02-18,50000.0,50000.0,47359.419454651004,50000.0,49690.07261056,42831.23497067155
2016-02-19,50000.0,50000.0,47511.94765088964,50000.0,49743.41741667974,42944.39149925538
2016-02-22,50000.0,50000.0,47646.426321425024,50000.0,49790.34897090153,43086.133777119096
2016-02-23,50000.0,50000.0,46399.51785948611,50000.0,49356.01064273474,42341.68293117284
2016-02-24,50000.0,50000.0,45689.699235772176,50000.0,49104.32831812862,41800.618382748
2016-02-25,50000.0,50000.0,44900.22009781196,50000.0,48821.501310151296,41514.15311562566
2016-02-26,50000.0,50000.0,45681.08851221984,50000.0,49104.522701687325,41866.4266743252
2016-02-29,50000.0,50000.0,46194.32580518748,50000.0,49288.422816772814,41612.121102145524
2016-03-01,50000.0,50000.0,47739.50106203177,50000.0,49837.97986054293,43013.17759421636
2016-03-02,50000.0,50000.0,49990.35778427917,50000.0,50621.24563624072,43885.973510810414
2016-03-03,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,44521.73453324851
2016-03-04,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,44579.80169923232
2016-03-08,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,44579.50217408727
2016-03-09,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,44856.43788877928
2016-03-10,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,44584.56502144193
2016-03-11,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,44727.79910900866
2016-03-14,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,44897.83051901833
2016-03-15,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,44432.40043173496
2016-03-16,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,44659.60624831553
2016-03-17,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,44741.79245850355
2016-03-18,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,45288.51890457315
2016-03-21,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,45883.48343905117
2016-03-22,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,45946.91006952357
2016-03-23,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,45956.439621953905
2016-03-28,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,45352.54167732452
2016-03-29,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,45244.74461322929
2016-03-30,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,46067.81063171191
2016-03-31,50000.0,50000.0,50272.8943204937,50000.0,50716.61303664119,46086.86682856146
2016-04-01,50000.0,50000.0,50272.8943204937,49513.85510959525,50552.24222139854,45935.891615401335
2016-04-04,50000.0,50000.0,50272.8943204937,49343.706376082206,50494.33654381142,46208.36062501767
2016-04-05,50000.0,50000.0,50272.8943204937,49765.03293683064,50638.053657338394,45281.67053839267
2016-04-06,50000.0,50000.0,50272.8943204937,49526.010709983995,50556.981871025295,45348.07497224885
2016-04-07,50000.0,50000.0,50272.8943204937,50081.024148400786,50745.837544653215,44943.68985433307
2016-04-08,50000.0,50000.0,50272.8943204937,50336.2521939919,50832.04292322819,44995.80141354931
2016-04-11,50000.0,50000.0,50272.8943204937,50911.52166950891,51025.688135160184,45687.84117513427
2016-04-12,50000.0,50000.0,50272.8943204937,51020.90723704291,51062.23175483898,45911.4759540632
2016-04-13,50000.0,50000.0,50272.8943204937,50510.456091182234,50891.943559136744,46754.19431167435
